INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,CASTROLIND,29-Oct-2015,0,XX,0,0,0,454.3,448.15,0,0,2000,0,28-AUG-2015,
FUTSTK,CASTROLIND,26-Nov-2015,0,XX,0,0,0,454.9,450.8,0,0,0,0,28-AUG-2015,
FUTSTK,CEATLTD,24-Sep-2015,0,XX,1129.4,1144.9,1086.1,1105.2,1105.2,5071,28417.25,928500,62000,28-AUG-2015,
FUTSTK,CEATLTD,29-Oct-2015,0,XX,1138.8,1147.35,1095.15,1109,1109,20,112.82,9000,2500,28-AUG-2015,
FUTSTK,CEATLTD,26-Nov-2015,0,XX,0,0,0,1134.05,1122.1,0,0,0,0,28-AUG-2015,
FUTSTK,CENTURYTEX,24-Sep-2015,0,XX,581.6,590.75,549,558.7,558.7,6790,19510.85,8080000,11000,28-AUG-2015,
FUTSTK,CENTURYTEX,29-Oct-2015,0,XX,584.8,591,553.3,563.35,563.35,33,95.87,11000,5000,28-AUG-2015,
FUTSTK,CENTURYTEX,26-Nov-2015,0,XX,0,0,0,581.05,567.25,0,0,0,0,28-AUG-2015,
FUTSTK,CESC,24-Sep-2015,0,XX,542.75,547.5,522.35,526.7,526.7,1108,2950.14,1725000,94500,28-AUG-2015,
FUTSTK,CESC,29-Oct-2015,0,XX,540,540,528,528,530.3,10,26.64,6500,3500,28-AUG-2015,
FUTSTK,CESC,26-Nov-2015,0,XX,0,0,0,543.75,533.5,0,0,0,0,28-AUG-2015,
FUTSTK,CIPLA,24-Sep-2015,0,XX,673.8,682.5,658.05,662.8,662.8,8229,27524.67,9693500,169500,28-AUG-2015,
FUTSTK,CIPLA,29-Oct-2015,0,XX,684.8,684.8,662.7,667,667,85,286.28,42000,18000,28-AUG-2015,
FUTSTK,CIPLA,26-Nov-2015,0,XX,0,0,0,673.95,672.7,0,0,0,0,28-AUG-2015,
FUTSTK,COALINDIA,24-Sep-2015,0,XX,366.3,368,355.7,357.65,357.65,4810,17351.91,15004000,-132000,28-AUG-2015,
FUTSTK,COALINDIA,29-Oct-2015,0,XX,368.7,368.7,357.55,359,359,153,551.95,177000,91000,28-AUG-2015,
FUTSTK,COALINDIA,26-Nov-2015,0,XX,0,0,0,369,364.5,0,0,0,0,28-AUG-2015,
FUTSTK,COLPAL,24-Sep-2015,0,XX,1965,1973,1944.1,1951.2,1951.2,885,2167.47,619375,-3000,28-AUG-2015,
FUTSTK,COLPAL,29-Oct-2015,0,XX,0,0,0,1972.85,1973,0,0,375,0,28-AUG-2015,
FUTSTK,COLPAL,26-Nov-2015,0,XX,0,0,0,1976.35,1984.9,0,0,0,0,28-AUG-2015,
FUTSTK,CROMPGREAV,24-Sep-2015,0,XX,181.05,182.4,173.25,176.6,176.6,2601,9205.51,12876000,-360000,28-AUG-2015,
FUTSTK,CROMPGREAV,29-Oct-2015,0,XX,181.65,181.65,174.7,176.7,176.7,45,159.41,96000,40000,28-AUG-2015,
FUTSTK,CROMPGREAV,26-Nov-2015,0,XX,0,0,0,185.15,180.7,0,0,0,0,28-AUG-2015,
FUTSTK,DABUR,24-Sep-2015,0,XX,287.5,289,278,281.5,281.5,1461,4110.02,2663000,151000,28-AUG-2015,
FUTSTK,DABUR,29-Oct-2015,0,XX,283.3,284.45,280.4,282.8,282.8,18,50.79,10000,8000,28-AUG-2015,
FUTSTK,DABUR,26-Nov-2015,0,XX,0,0,0,290.1,285.75,0,0,0,0,28-AUG-2015,
